Frequency (Hz)	Level (dB)
390.289307	-74.834106
391.635132	-88.819954
392.980957	-78.741043
394.326782	-80.865784
395.672607	-83.066696
397.018433	-90.497520
398.364258	-76.840187
399.710083	-78.142174
401.055908	-78.348396
402.401733	-73.370506
403.747559	-76.630402
405.093384	-80.186714
406.439209	-82.315331
407.785034	-83.181931
409.130859	-79.426735
410.476685	-92.103546
411.822510	-78.578712
413.168335	-79.048584
414.514160	-92.500488
415.859985	-88.884308
417.205811	-84.896576
418.551636	-81.023125
419.897461	-89.181305
421.243286	-95.177460
422.589111	-87.479759
423.934937	-85.439095
425.280762	-82.956123
426.626587	-83.830490
427.972412	-83.639030
429.318237	-80.854759
430.664062	-82.799751
432.009888	-88.324921
433.355713	-80.702698
434.701538	-73.250130
436.047363	-73.820862
437.393188	-90.542984
438.739014	-80.082199
440.084839	-82.972473
441.430664	-72.711906
442.776489	-74.772522
444.122314	-77.891129
445.468140	-74.503502
446.813965	-79.400490
448.159790	-84.041924
449.505615	-76.867737
450.851440	-74.115273
452.197266	-72.742706
453.543091	-75.962151
454.888916	-82.179932
456.234741	-77.990967
457.580566	-71.116104
458.926392	-71.402321
460.272217	-81.484444
461.618042	-88.548485
462.963867	-83.304543
464.309692	-79.749588
465.655518	-83.142708
467.001343	-87.019707
468.347168	-80.794556
469.692993	-81.227310
471.038818	-84.329659
472.384644	-82.837761
473.730469	-88.962837
475.076294	-86.017166
476.422119	-87.786850
477.767944	-82.822487
479.113770	-79.308456
480.459595	-74.686623
481.805420	-76.936539
483.151245	-79.825516
484.497070	-76.857330
485.842896	-73.870331
487.188721	-72.360863
488.534546	-73.379395
489.880371	-71.542358
491.226196	-69.705849
492.572021	-72.103447
493.917847	-82.024414
495.263672	-69.306595
496.609497	-71.125237
497.955322	-84.007133
499.301147	-81.289566
500.646973	-81.332130
501.992798	-70.139580
503.338623	-69.578011
504.684448	-74.293365
506.030273	-84.573463
507.376099	-71.705070
508.721924	-72.129883
510.067749	-76.493530
511.413574	-69.940712
512.759399	-69.513390
514.105225	-71.885582
515.451050	-67.935455
516.796875	-74.647682
518.142700	-81.486832
519.488525	-85.469673
520.834351	-76.708321
522.180176	-73.375191
523.526001	-90.722969
524.871826	-80.523201
526.217651	-84.395943
527.563477	-82.801743
528.909302	-82.448830
530.255127	-77.889236
531.600952	-73.966988
532.946777	-83.313103
534.292603	-68.300232
535.638428	-67.150719
536.984253	-67.678787
538.330078	-61.714802
539.675903	-64.467308
541.021729	-77.580620
542.367554	-57.628113
543.713379	-49.352028
545.059204	-26.647783
546.405029	-23.751579
547.750854	-34.083546
549.096680	-54.740440
550.442505	-57.584087
551.788330	-84.589325
553.134155	-62.239616
554.479980	-64.702827
555.825806	-71.577888
557.171631	-70.275810
558.517456	-74.380577
559.863281	-85.220596
561.209106	-73.324242
562.554932	-74.235825
563.900757	-79.090042
565.246582	-74.786789
566.592407	-76.672134
567.938232	-73.538948
569.284058	-77.862587
570.629883	-77.306786
571.975708	-81.042015
573.321533	-84.613174
574.667358	-83.088799
576.013184	-76.070831
577.359009	-72.644699
578.704834	-89.308441
580.050659	-86.156395
581.396484	-79.362534
582.742310	-74.022476
584.088135	-74.694824
585.433960	-80.886688
586.779785	-72.652802
588.125610	-69.649376
589.471436	-71.922684
590.817261	-72.993820
592.163086	-76.409103
593.508911	-79.717621
594.854736	-81.369896
596.200562	-80.160011
597.546387	-76.622604
598.892212	-81.499435
600.238037	-78.735771
601.583862	-86.167313
602.929688	-79.649918
604.275513	-78.368385
605.621338	-78.417976
606.967163	-76.498466
608.312988	-79.523804
609.658813	-83.564651
611.004639	-81.451324
612.350464	-84.792778
613.696289	-83.022202
615.042114	-82.518684
616.387939	-92.088272
617.733765	-85.816292
619.079590	-96.447998
620.425415	-93.534172
621.771240	-92.733803
623.117065	-83.413460
624.462891	-87.538994
625.808716	-90.141991
627.154541	-87.146736
628.500366	-94.333672
629.846191	-88.330360
631.192017	-91.786247
632.537842	-82.311279
633.883667	-78.066490
635.229492	-78.802246
636.575317	-89.750305
637.921143	-83.120384
639.266968	-80.354416
640.612793	-75.929558
